TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore,Add_Heavy,Add_MW,Add_HA,Add_HD,Add_Charge,Add_RT,Add_Xlogp,FP2
decoys1514,0,5.77,0.49,2.89,0.00,0.00,0.00,-234.42,1.95,4.31,6.00,4.52,25,-8.6,7.09,4.74,-87.854,-0.175,8.07,6.55,25,380.52,3,2,0,9,4.17,00010012010018000110090240b9060000000000004000000402000000000008000000c00048884008202204600090800304860600020001c008004000020400000020000200200000c00000000062014000000058200e80200400408940021800000080a4002000000000000001000c04000400200600030000200000c12660
decoys1762,0,5.73,0.50,3.91,0.00,0.00,0.00,-191.51,0.00,4.66,4.00,0.55,22,-7.1,6.81,7.339,-65.471,-0.152,5.76,5.34,22,348.37,3,1,0,7,3.55,00004006008023086012002000108600000900001000000400000000000020080000810002004c400028000c700080000000880000340000000000400008040c040c80000000000088400010002400c0c01008000a0006002180200000080009020000000800000400004010808000c000008800010600418800000002010264
decoys2041,0,5.92,0.38,4.18,0.00,0.00,0.00,-185.44,0.00,5.80,6.00,-4.20,26,-8.1,6.38,7.165,-74.499,-0.197,6.47,6.04,26,357.44,1,1,0,8,4.57,0000000144800808200001090001060000001000000201004204000002001400000001000018084008200000400088008000c80200000000010044012000a00800002000020000040008000000020a008000000008028600000000000044801c00000000c00000000022080080000000000003000006000b8404000000000600
decoys888,0,5.29,0.62,2.11,0.00,0.00,0.73,-187.63,4.18,2.45,1.00,-0.93,22,-8.6,6.76,6.67,-66.890,-0.196,6.73,5.66,22,327.42,1,3,0,4,3.19,00014046028018000200010000000e400804000000000000000008800200300100000000000008c0002802044000c0800000881000100020000420400000000001051000020040080820000000000208401011004804868020032000104000040218000004300082000004008000008400808300000600018000100000c14200
decoys1511,0,6.28,0.32,3.54,0.00,0.00,1.00,-241.86,0.00,5.40,7.00,1.07,26,-9.3,6.94,2.343,-85.418,-0.182,9.34,6.36,26,394.92,3,2,0,9,3.23,00008002460018000010010200310600800000000000000000020000000000040000008000080840082024044000980002008426000400018008004000020000000000200200000000004000004042004000002098200f0220000200814400380800248080004000000400000000000c04000000000600630000000001032660
decoys1801,0,5.65,0.32,3.70,0.00,0.00,0.00,-177.07,0.00,4.28,2.00,0.79,20,-8.1,6.42,7.322,-69.092,-0.178,5.63,5.75,20,300.34,1,1,0,5,4.33,000140024000000002104100100006002104002000000000040004800210100000000900204800f004302204c0004080000008100100002000122000020c000400041000020040080820000000a0020d401019015c08a080208108000060081002000000c4000086000000c0900000840040830c000608020810100000c10610
decoys262,0,5.67,0.60,3.26,0.00,0.00,0.00,-177.39,0.00,3.89,0.00,1.74,20,-8.2,6.15,4.824,-54.068,-0.161,7.90,6.04,20,349.20,3,1,0,2,3.19,0801c0121080c8082100410040010210800c1000000281100600200001408300404001010018084008000004d00088608200881e00800000001000c00004200c700100000200008c0060041080120404c000004008068780208000408040001c00042000ac00020408c200404008000000420084200620028200000808c10c20
decoys1025,0,5.72,0.40,4.34,0.00,0.00,0.00,-209.59,1.85,3.79,2.00,4.96,21,-8.0,6.59,7.72,-86.863,-0.192,7.82,6.29,21,297.42,1,2,0,5,4.30,0001600200000008e210010000010e002104000000000002004000800200100000000800004808d000310204e000c0800180081000000020000220400004200c00061000020000080c6000000022020d40101900580880803081080000404018020400008408000210020200800000e40040c304000600020800020000c10630
decoys336,0,5.74,0.49,2.91,0.00,0.00,0.00,-179.98,0.00,4.03,0.00,-5.86,23,-8.4,6.87,7.954,-73.342,-0.196,7.41,5.97,23,357.47,3,1,0,4,4.42,000300021002200000080d0810010e00201c000200108502804081801843d259004000003000184300390b05d00086a00800803800c02021000230c8003c040c10080000020064ac0021001000e0820140000000cf4016806180080082610010020090008c00c99040200010900016040040010c052e38018010180006c10701
decoys514,0,5.82,0.53,4.34,0.00,0.00,0.00,-157.94,3.61,4.74,0.00,-4.49,27,-7.5,6.39,6.435,-66.548,-0.204,9.05,6.13,27,375.49,2,1,0,5,4.77,00000207400082096000658004710610158b100100004042c08000800000140001800104504148d009380044e24080180000a8200035000000230842200c600c6404041082a003001049810051a20000401000841801862021804a008340801080464200800080002a57201040431ac00440218c10c6010944060002900106e0
decoys1440,0,5.33,0.35,2.92,0.00,0.00,0.00,-190.59,0.00,4.21,7.00,-1.97,25,-7.9,6.52,5.988,-82.358,-0.214,6.57,5.60,25,366.88,1,2,0,9,3.02,0000c00309001008201000280501060080001000000000004a0800002040040a0000000000100ac8002000044101b8000202802600002001010004410000400800040000000004644800200000024a014010000038040710200080010210801a0020200000008880205440009000008008008200000604010402580000022200
decoys1551,0,5.02,0.30,1.34,0.00,0.00,1.00,-191.57,0.00,2.86,7.00,3.42,21,-6.8,6.46,6.053,-74.177,-0.187,5.70,5.62,21,331.84,3,1,-1,9,3.54,00038000008010000210410000002e001010800000000000000000842200b000000000000048008001200200c0201880060c98720000002000002000000800080000500002000008006000400000020d80001900580d8f8101000000004000180601000004010000002400009000000400000300000600030008000080cb0e00
decoys1910,0,5.58,0.45,2.81,0.00,0.00,0.00,-177.40,0.00,4.54,4.00,2.36,19,-6.3,6.41,6.702,-66.447,-0.189,6.07,5.90,19,284.46,2,1,0,6,4.08,000300020100000000100880000004100900000000000000004001801032804800002100200c00820020aa0050000c00000000080020000100022800101c000c00000000020040800000001080a040010000200010c820806010480050014014020450800c00060000200001100004040008001c040e20008000100024210200
decoys328,0,5.67,0.62,4.20,0.00,0.00,0.00,-160.31,1.37,5.15,4.00,-4.04,26,-6.9,5.80,6.133,-67.453,-0.182,6.63,5.45,26,357.42,0,1,0,4,4.64,00004003470002082010010a020106002100100040002050430400000200100000000800000828c0083000045001c0000000480220201000010200410006800a00048000020000040808200800220a014010010018008010200100000054801000000000810000008032000090001081001883020106800a0006008020000600
decoys123,0,6.32,0.31,4.82,0.00,0.00,0.00,-208.91,4.07,6.68,7.00,1.95,26,-7.6,6.92,6.311,-89.245,-0.191,7.24,6.48,26,362.57,1,2,1,8,6.00,04000000010000082010010a000106000000108002000000020400002000000000000800000808c008300000500180000080000200200000012800010008200810200000020000000080200000020201000001001800001007000080085000100000000180000000001200001080000000000200000600020000000000002640
decoys1969,0,5.69,0.22,3.23,0.00,0.00,0.48,-197.73,1.23,4.41,5.00,1.20,21,-7.7,6.20,6.23,-77.318,-0.188,6.43,6.12,21,289.37,2,1,0,9,3.79,00000000010010000010030080010600000000800000000082000080000004000180010000000840402000004000c08004008002000000000008100a00080008100604008200000020018018000002010100010018000e00120000000040001c0000140080000000004020004000040100400200000600010400000002000210
decoys2284,0,6.74,0.65,5.51,0.00,0.00,0.00,-204.10,0.00,6.39,0.00,-2.42,29,-9.0,6.85,5.078,-85.178,-0.201,7.80,6.62,29,461.23,2,0,0,4,7.04,14c6620600208020011803002003160034000000040060048000180111a4c40201804180885008c3c029002c60189008460a841000110200000200620010400020064480022019000c018e0010a0aa03c33c00121c0106207000e800c07a0011810018008840008244722030d80100c10040c060040e00434440404808000202
decoys237,0,7.01,0.60,5.91,0.58,0.00,0.00,-190.32,3.07,7.12,1.00,1.12,23,-9.1,6.91,6.775,-69.026,-0.174,8.34,6.30,23,411.08,2,1,0,4,5.34,00408000040888208000051000030e000000000000020000801000c00202344000102040005a084401200000600088880200a946000102000080040200004000a00024000200012000000020008000002000044008038700060400000e40011c10012000c0002004804c2a01c00503300050010000060c018c04000884028200
decoys1898,0,5.60,0.42,3.27,0.00,0.00,0.00,-195.11,0.00,5.14,8.00,1.40,20,-7.2,6.14,4.351,-78.066,-0.206,6.89,5.92,20,281.46,2,2,1,8,4.87,0000004001000000001000000001050000080000000000000000000020000000000000000000008000200000400180000000000201800000000000000008100800c00000000000000040200000000201000000201000000001000400001000100000040000000000000000001000100000000200000400000002000000000380
decoys65,0,6.13,0.28,5.10,0.64,0.00,0.00,-194.89,0.00,6.49,10.00,0.26,26,-7.4,6.74,4.083,-80.379,-0.212,8.63,6.08,26,404.03,2,2,1,11,5.73,00008090008002000110000001b006000008000010000000000200002000000000000000000008c0002020006000880002000006000000018020000000008000000020000000000000600000000062018000000038000100000000012a4000380200200000000004100000001000000c08000400200600000000000200032260
decoys1623,0,7.20,0.23,6.05,1.00,0.00,0.00,-182.41,0.00,7.64,2.00,-4.15,25,-8.2,6.29,7.324,-67.312,-0.191,9.12,6.30,25,331.37,3,1,0,6,6.34,008820020000000000000100000302000200010004000000000010000100400084000000000808610c010004400080000001000000000200001400400000400000008080020010000000040000200000400800000c000000700018000060001000000000e0080000400000004000000100000080000e00020000000000000400
decoys69,0,6.62,0.63,5.46,0.00,0.00,0.00,-269.29,1.03,6.48,8.00,6.53,24,-7.9,6.71,7.9,-108.591,-0.189,7.58,6.61,24,411.74,0,2,1,8,5.74,0400c00064008008201001080121060000001000000040020204000002001001400001000000184000200002c0008800028048160101008101000501020880080000100002000000004800000002424000001000180081200000000000c4901000002000c0002202002200008000000000000300000600086004000808020200
decoys1985,0,6.26,0.42,4.11,0.00,0.00,0.00,-217.99,0.00,5.86,5.00,3.87,21,-8.3,6.25,3.966,-83.730,-0.192,7.21,6.33,21,285.36,2,2,1,6,4.39,000000020000080000100100c00106000000010000000000000000000200100004000080000808600c2000044000800000010802000000000010044000000000000000000200000000000000000002004000000018208000200000008140001000000000c0000000000000008000001004000100000600022004000000000600
decoys2061,0,5.72,0.42,3.53,0.00,0.00,0.00,-191.36,0.00,4.63,4.00,2.03,21,-6.5,6.73,4.14,-62.326,-0.170,6.04,5.66,21,327.88,0,3,0,7,4.62,0001800040000001021001000000060002000000000000000400008002101880000009000048008000300200c00010800600081a0000002000002000100800040000100002004008002000000020000d00001d005808818060004000004000140200000004000284000800008000004400000308004600028800300000c30610
decoys585,0,5.91,0.64,3.69,0.00,0.00,0.00,-177.43,1.63,5.04,2.00,-0.45,24,-9.7,6.49,4.761,-73.973,-0.183,7.84,6.31,24,343.44,2,1,0,2,3.25,10004012438012082110290201b106002008010840012040020001000000000100800800004808c0083020046000c0000004040280200001806a00c000064128000ea2000a0000000840200800026e01c0100100188408002004404018408018020000808100000520000000100010ac000084022006000a0000040020010670
decoys358,0,5.34,0.51,1.62,0.00,0.00,0.00,-180.03,0.00,2.88,0.00,-4.82,22,-8.3,6.88,6.134,-58.582,-0.179,6.55,5.84,22,343.45,3,1,0,4,4.06,00030042500008000248010850000600800c022000028400140881a01b1fd00800c00300300018c300368a04500286808800883000400020000220d0421c060c01019000020060880023001020e4000840001000490086806080080012410004020000020c00018440001800900026040018033c000e3401a000180006c10703
decoys1659,0,5.15,0.04,3.17,0.00,0.00,0.00,-145.67,0.00,4.68,7.00,-1.52,21,-6.3,5.89,4.703,-63.035,-0.220,5.56,5.38,21,300.44,2,1,0,11,3.69,00010000014030000010000004000600000000000001800000000000200000080080020000000080002000004001b0000c0080020000200000000000001a0008000200000008000000000810000002010000000030040e500000000102100018000000000000000200000000102000200800020000040001a000400000002200
decoys2020,0,6.53,0.42,4.99,0.00,0.00,0.28,-264.65,0.00,5.74,6.00,3.48,24,-8.1,6.46,6.621,-110.091,-0.204,6.70,6.38,24,346.81,2,1,0,9,5.54,0400800c000000082000010800010682000211000200000002040001010040020000010000000841000400004000c8008280800600000000010010010008200800000000820004000000040000020800000800000804070043040002004000100000221080400800401200080000000000000208000e00024020000010020000
decoys252,0,5.91,0.60,3.58,0.00,0.00,0.00,-180.03,0.00,4.74,1.00,1.90,19,-8.3,6.45,4.692,-67.419,-0.183,8.77,5.85,19,385.05,2,1,0,2,3.22,0400c00230008018201001080001070000001000028041000a00200002101600400009002008084008300004c0028040008008160000000011000101000c200c002000008200c00000c0000000a20001000001401c008000218088c00040001000004000c00000800042000080000100008003080046080244041008080006c0
decoys1479,0,6.51,0.54,4.05,0.00,0.00,0.00,-218.23,0.00,6.57,5.00,1.01,28,-8.4,6.42,7.429,-75.943,-0.175,7.97,6.46,28,374.41,3,1,-1,8,4.70,04002008008008082010010900010602000010800000400002040000030010000000010000080840082400004000d00000808802000000000100140100080008100000008200000000000000000202008000000018068e20120000000040001c00000000e000000000420008c00000010000038000060003e004000000000600
decoys2245,0,5.98,0.49,3.90,0.00,0.00,0.00,-199.06,0.00,4.99,3.00,-6.89,30,-9.3,6.53,6.846,-95.672,-0.229,9.33,6.53,30,416.54,2,0,0,4,5.10,0003000233904b000011091ac30507040018444002015040020080a20000980806100908884a18e00c30020ce00b80808800981a00e01001107631c0000c2454089000080284c00c0860001000004005c0000980dc88c0b0218041c1d170001802046008cd000001600184200044091404404800064600ca680c800002c10eb0
decoys2229,0,6.54,0.50,4.46,0.00,0.00,0.00,-218.01,0.00,6.42,4.00,-1.96,31,-8.7,6.78,7.133,-87.367,-0.193,8.82,6.38,31,416.49,2,1,0,4,4.34,04410002010000092010010a020306600000104000904010120402a12000040201000d00009888c008300000400590000482801200211000010004011208014800410000031002220023200806120a0100000101180002b03000840000f0189004a008008000200000524200900c050100180202800682026402000040000680
decoys540,0,6.42,0.46,4.92,0.00,0.00,0.00,-193.83,2.94,6.15,2.00,5.67,21,-8.9,6.52,7.76,-72.291,-0.172,8.08,6.09,21,357.15,2,1,0,4,4.89,000040023000800000100100020106000100010000000010000000000200100044000000000808600c200004c000c00000010810000010020010014000000000000404000200018008000000003000004010000108008000200100000040081000080000c010000000020400800000810080810000068002000400080c000600
decoys1857,0,5.35,0.41,3.62,0.00,0.00,0.00,-174.46,0.00,3.94,4.00,0.43,18,-7.8,6.23,6.14,-65.828,-0.192,5.78,5.79,18,242.36,0,1,0,5,3.83,00004002002088000000010050010e000002002000100000000000000200100100000800000808c0083100044001c00000000800000080000002004000040104000400000240000408200000000000014010010118018000208100000040001000100000c0000001000000008000008000008104000600420000020000004600
decoys749,0,6.55,0.41,4.59,0.00,0.00,0.00,-235.12,0.00,6.10,4.00,3.73,25,-9.6,6.97,3.441,-92.366,-0.192,8.73,6.52,25,427.33,2,1,0,5,4.25,00004012038080000110020003b026002008000000002010000000012000000000200000004008c000202004700380040000001200001101806200400000000000042400000000000840000000006e01c01000001800000020000000185000180200000000000004000200001000008d00008400200680000000000808010270
decoys654,0,6.03,0.53,4.29,0.00,0.00,0.00,-201.02,0.00,4.87,2.00,1.94,19,-8.3,5.85,5.725,-81.896,-0.210,7.77,6.15,19,273.76,0,1,0,2,4.07,0400e002000000086010110800010602a000108000004000020400000000000000400100000808500824000440008800028000a60001000001021041020840080004000002000000080000000002000045100000182401203240000081c090110004200080002000281600080000008004408200000600024000040000020600
decoys1466,0,6.86,0.56,3.76,0.00,0.00,0.74,-256.10,0.00,6.20,4.00,5.32,28,-9.2,7.10,6.137,-83.059,-0.165,8.91,7.13,28,376.47,3,1,-1,7,5.42,0005800a010008000000010240810210000c1140000000001000200000000000004009000008084008100004400098000f00880000600800c00c0040000e000c180000000200000000600408000000014000010008028a0821800000804000140004380080000000080000400000000000000002000200028004220000400420
decoys941,0,5.19,0.10,3.45,0.00,0.00,0.00,-122.63,2.05,4.93,5.50,-3.65,19,-5.5,6.02,4.152,-57.073,-0.218,6.35,5.41,19,266.42,2,0,0,8,4.59,0001000401001000001000000000040000000000000800000000000020000000000000000000008000200000400110000400800200000000000000000000000000400000000000000000200000000201000000001000060040000400001000180000000000000000000000001000000000000000000c00010002000000002280
decoys1642,0,6.58,0.50,5.38,0.70,0.00,0.00,-235.78,3.21,5.46,4.00,8.44,21,-8.0,6.04,4.96,-100.616,-0.192,6.72,6.76,21,287.40,2,1,0,7,4.95,004040020100000cc018010000090e00210000000000e040000000000080000000004100400008f000218004400180000080000000200000000200401000200e000400000200000108002200002000014030000098000020200000000050441000440000c000000014000002100010a000408004000600004102020000000200
decoys1828,0,5.53,0.45,3.64,0.00,0.00,0.00,-173.61,2.51,4.46,4.00,2.11,19,-6.7,6.27,4.076,-67.752,-0.192,6.30,6.04,19,254.37,1,1,0,5,4.13,000040020100080000100100400106002000000000002000000000000000000000000000000808c008200004400080000000000001008000000200400004000400440000020000000800200000000001401000001800000020800400004000100000000080000000000000001000008000008000000600020002000000000680
decoys762,0,5.34,0.61,2.54,0.00,0.00,0.00,-171.17,2.12,3.31,1.00,0.18,22,-7.6,6.72,4.873,-58.369,-0.164,7.61,5.98,22,328.45,2,0,0,2,4.06,0001000211104b000018093ad11526040018446000015000020080820000980816100908004a18e00030020ce00b80800800981800621081004631c0020c04140c1000080280820d0860001000004015c0000980588880a0218048c1d1780018024064089f000001600184200044090424504800064608ca6804800000c10ff0
decoys1341,0,6.49,0.47,4.86,0.00,0.00,1.00,-187.64,0.00,6.71,5.00,-6.17,30,-7.7,6.60,6.377,-88.748,-0.219,8.66,5.99,30,408.47,1,2,0,7,4.89,0800200a45805a092010110a12010610208210200400a01813044000000011048070090010080ad441108004608188000000d8a220209000210300a1882c800c000280088680100404280408005302018004030018068610318040008150851c40844001c008000108220200300010c1050042040086804a800c02a0a0010620
decoys1903,0,5.56,0.31,2.87,0.00,0.00,1.00,-183.58,0.00,4.36,6.00,3.29,19,-7.3,6.40,6.775,-71.556,-0.199,5.45,5.83,19,264.36,2,1,0,7,3.11,0001000001000000000001020001030000080000000000000000000000000000000008000108084008100000400090001400800800a000000000000000080008008200000200000001402000000000010000010008000a0001000040004000100000000080000000000000000000000000000202000200020002000000000400
decoys708,0,6.36,0.49,4.72,0.00,0.00,1.00,-182.69,0.00,5.98,3.00,-5.98,29,-8.0,6.50,8.154,-78.469,-0.209,8.11,6.02,29,418.43,2,1,0,4,5.29,00004016008200020118010003b10e0000080001000000001c00040502003001000000100000385001302004e000c0020300880201000041902004400000000800046100025000000a40000000006000c010210008018000200300000840000802104018c0000044480000209000048c00008500220600800014e00080014360
decoys1376,0,6.28,0.36,4.55,0.00,0.00,0.66,-236.17,1.47,5.43,6.00,2.14,27,-9.5,6.84,8.334,-94.735,-0.205,7.68,6.59,27,398.54,3,2,0,9,4.36,00000002001011082010012008190e000001000080800001000201007000001400040390120a485288208004400089900000800200040000000420400008400d4404800002004210080000202020022040080000183406882060000087400018200402008c00000020004004000004c40e70800800070007e004020002010654
decoys2095,0,6.05,0.47,4.25,0.00,0.00,0.00,-222.61,0.00,5.16,5.00,4.46,21,-7.9,6.22,5.612,-91.609,-0.197,7.23,6.50,21,288.43,1,1,0,7,5.71,0040400a0100000080180000100006402004022000002000000084000000020010084120000208d00020804440a1a800400804000160000000020060020400040004400040000000082020804000080140100000180400002080400004180010000000000000000104000294180000800000a004010600000016000020000240
decoys314,0,5.62,0.33,2.93,0.73,0.00,0.00,-130.49,0.00,4.48,2.00,-11.51,25,-9.0,6.77,7.612,-47.744,-0.172,8.20,5.73,25,367.49,3,1,0,4,5.10,04030002110000100018011810010600000c0021000084000000818010378019004001002008184208300a0450009c000900803000600000400220c0020c040c00300200020048a00020001000a00000400000005c2006806080488083611010020000038c20012040000000100004040400181c000e38030000300004c10f00
decoys1195,0,4.86,0.32,2.13,0.00,0.00,0.00,-173.43,0.00,2.79,5.00,0.80,19,-7.2,6.82,10.82,-61.812,-0.164,5.30,5.32,19,312.37,1,2,0,8,3.54,00010000008000002210410000100e001000000000020000000000840200b000000081000248408001200200c0000880800088100024012000002000000006000408500002000008002000400000010c800019004809848000000200084000180200000004010000002048008000202400000300000600030000000082c10600
decoys515,0,6.13,0.49,2.66,0.00,0.00,1.00,-229.03,1.14,4.55,4.00,1.06,28,-9.4,7.04,7.673,-93.433,-0.190,8.38,6.61,28,375.46,2,1,0,4,3.18,00410000010012082010010a001106000000104000900000020402a12010040611000d00009a88c208300040400198000402801a00200000010004010004004800010000031000220023200806020a010000810018040690000080000050009804200800800020000052400090040500041002028006020b0402000040012600
decoys1459,0,5.80,0.22,3.16,0.00,0.00,0.00,-189.82,0.00,4.91,4.00,-4.00,26,-8.4,6.56,5.131,-76.661,-0.186,6.48,5.56,26,390.35,3,2,0,8,3.28,0000408200802a104012012806910600000000000000001000000000020010080000000000010a4000206004600080000100884200203000802004400000040206040300020000000800000000002000c050000028028600208000002a48000f00004008c0000200000000008020008108008100000680818004a00000010220
decoys1006,0,5.81,0.29,4.79,0.00,0.00,0.00,-176.87,0.00,5.44,5.00,1.38,20,-7.6,6.00,5.793,-68.661,-0.197,7.39,5.92,20,289.80,0,1,0,6,4.76,0400e00200000008200011080001060200001080000000000204000008000000000000000008084008240004400088000280000600000000010010410008000800040000220000000800000000020000401000000804010032000000004100100000200080000400081200000000008000008200000600020000000000020600
